Done? (Y),Company/Organization,Test Name,Select,*URL,Test Type (Lab or Kit),Country of Origin,US Regulatory Status,Category,Authorized Setting(s) per FDA,Technology,Analyte,Assay,Specimen Type,Transport Media,Gene,Antigen,Sample Prep,Detection,TAT,Analytical Sensitivity (LOD),LOD of FDA Reference Panel (NDU/mL),Cross- Reactivity,PPA/Sensitivity,PPA Sample Size,PPA Specimen Type,NPA/Specificity,NPA Sample Size,NPV @ 5% prevalence,PPV@ 5% prevalence,Manufacturer's Validation Notes,External Quality Control,Process (internal) Control,Positive Control,*Publications,*IFU,*Letter of Authorization (EUA),Creation Date,Modified Date,,,Needs Review
Y,"Hangzhou Laihe Biotech Co., Ltd.",LYHER Novel Coronavirus (2019-nCoV) IgM/IgG Antibody Combo Test Kit (Colloidal Gold),,http://www.lyherbio.com/default.aspx?pageid=2&pageType=detail&id=27,Kit,China,"EUA granted June 19, 2020",Laboratory,"H, M",Serology,IgM/IgG ,Lateral Flow,"Serum, Plasma",NA,NA,S1,Manual,Gold with visual read,10 minutes after sample loading,NA,,No cross-reactivity detected in wet lab testing,100.00%,30,Clinical,98.80%,80,100.00%,81.40%,"PPA determined with 30 frozen SARS-CoV-2 antibody-positive serum samples confirmed positive with a nucleic acid amplification test (NAAT) and confirmed to contain both IgM and IgG antibodies with at least one orthogonal method (methods not disclosed) tested at the Frederick National Laboratory for Cancer Research (FNLCR). Positive assay results for PPA were those that were positive for IgG or IgM.  NPA determined with 80 frozen SARS-CoV-2 antibody-negative serum and plasma samples (distribution of each sample type not disclosed) collected prior to 2020 including a subset selected from banked serum from HIV+ patients (n=10). Negative assay results for NPA were those that were negative for both IgG and IgM.  Testing was performed by one operator using one lot of the COVID-19 IgG/IgM Rapid Test Cassette (Whole Blood/Serum/Plasma).   

A validation test for positive agreement with PCR positive results was also conducted with 178 clinical samples (sample type not disclosed) collected at four medical centers in Hubei Province, China (number from each site not disclosed) from patients either in quarantine (n=90) or who had recovered from COVID-19 (n= 88) who had all been confirmed positive at any time with PCR assay for SARS-CoV-2 (method not disclosed). (Sensitivity for either IgM or IgG positive result for 178 samples stratified by windows of time post PCR positive: 100.00% positive agreement for 0-6d post PCR positive with n=23, 85.71% positive agreement for 7-14d post PCR positive with n=21, and 99.25% positive agreement for >14d post PCR positive with n =134).  An additional validation test for negative agreement was conducted with clinical samples (sample type not disclosed) collected from individuals with coronavirus infections not caused by SARS-CoV-2 (n =239) or collected prior to August 2019 from individuals with other respiratory tract infections (n = 110), some of which were tested negative at a local hospital (number of samples and method not disclosed). (Specificity for IgM-/IgG-: 99.43%, n = 349).",not included,included,not included,ND,https://www.fda.gov/media/139410/download,https://www.fda.gov/media/139407/download,,,,,***
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/21/2020 update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3B Blackbio Biotech India Ltd., a subsidiary of Kilpest India Ltd.",TRUPCR SARS-CoV-2 Kit,,https://3bblackbio.com/covid-19-corona-virus-real-time-qpcr-kit-sars-cov-2-trupcr.html,Kit,India,"EUA granted June 18, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"NP swab, OP swab, Anterior nasal swab, Mid-turbinate nasal swab,
NP aspirate/wash, Nasal aspirate, BAL","VTM (TRUPCR® Viral Transport Medium or other), UTM","RdRP, N",NA,TRUPCR® Viral RNA Extraction Kit (3B213V/3B214V),"ABI QuantStudio 3 (software version 1.4.3), Qiagen Rotor-Gene Q 5Plex HRM Platform (software version 2.3.1)",ND,10 copies/µL,,No cross-reactivity detected in wet lab testing,96.77%,31.00,Clinical,96.67%,30.00,,,"PPA determined with 31 blinded and randomized clinical NP and OP specimens (source and number of each not disclosed) confirmed to be positive with the FDA authorized RealStar SARS-CoV-2 RT-PCR Kit and tested with assay under evaluation by an unbiased operator. NPA determined with 30 blinded and randomized clinical NP and OP specimens (source and number of each not disclosed) confirmed to be negative with the FDA authorized RealStar SARS-CoV-2 RT-PCR Kit and tested with assay under evaluation by an unbiased operator. Note that while it is indicated that 25 OP and 36 NP clinical specimens were used during validation, it is not disclosed how many of each were confirmed positive or negative.",not included,included,included,ND,https://www.fda.gov/media/139296/download,https://www.fda.gov/media/139293/download,,,,,
,"Jiangsu Bioperfectus Technologies Co., Ltd.",COVID-19 Coronavirus Real Time PCR Kit,,http://en.s-sbio.com/product/420.html,Kit,China,"EUA granted June 18, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"NP swab, OP swab, Anterior nasal swab, Mid-turbinate nasal swab, Nasal aspirate,
Nasal wash, BAL",ND,"ORF1ab , N",NA,"Bioperfectus Nucleic Acid Isolation Kit (manual or on the Bioperfectus SSNP 2000A extraction system, 32 channel v1.0), QiagenQIAamp Viral RNA Mini Kit","ABI 7500 (software versions V2.3 and V2.4), QuantStudio 5 (Software versions V1.4.3 and V1.5.1), Roche LightCycler 480 (Software
version V1.5.1.62)",ND,3.5×10^2 copies/mL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,570.00,Clinical and contrived,96.54%,780.00,,,"PPA determined with contrived NP (n = 30), sputum (n = 30), and throat swab (n = 30) specimens (source of specimens not disclosed) spiked with pseudo-virus (source and type of psuedovirus not disclosed), clinical NP (n = 20), sputum (n = 20), and throat swab (n = 20) specimens determined to be positive by an undisclosed NMPA authorized assay, and clinical NP (n = 185), sputum (n = 82), and throat swab (n = 153) specimens (source of specimens not disclosed) confirmed to be positive with an undisclosed NMPA-certified molecular diagnostic assay. NPA determined with clinical NP (n = 100), sputum (n = 30), and throat swab (n = 100) specimens determined to be negative by an undisclosed NMPA authorized assay, and clinical NP (n = 141, 127/141 negative agreement), sputum (n = 129, 120/129 negative agreement), and throat swab (n = 280, 276/280 negative agreement) specimens (source of specimens not disclosed) confirmed to be negative with an undisclosed NMPA-certified molecular diagnostic assay.  Also reported positive (94.9%, n = 433) and negative (98.7%, 464/470) agreement of 903 samples (sample type and source not disclosed) compared to clinical diagnosis of COVID-19 (symptoms consistent with COVID-19 and a positive test result with an NMPA-certified molecular assay).  For the lattermost group, it is not disclosed whether these samples derive from a mutually exlusive sample set from other validation tests reported.",not included,included,included,ND,https://www.fda.gov/media/139279/download,https://www.fda.gov/media/139284/download,,,,,
,Biohit Healthcare (Hefei) Co. Ltd.,Biohit SARS-CoV-2 IgM/IgG Antibody Test Kit,,https://www.biohithealthcare.com/en/,Kit,China,"EUA granted June 18, 2020",Laboratory,"H, M",Serology,IgM/IgG,Lateral Flow,"Serum, Plasma, Venous whole blood",NA,NA,N protein,Manual,Gold with visual read,15-20 minutes,NA,,No cross-reactivity detected in wet lab testing,96.70%,30.00,Clinical,95.00%,80.00,99.80%,50.40%,"PPA determined with 132 clinical serum samples collected from hospitalized individuals tested >14 days post symptom onset (pso) and confirmed positive at any time with PCR assay for SARS-CoV-2 (method not disclosed) (Sensitivity for 197 serum samples collected from 40 individuals stratified by windows of time post symptom onset: 33.33% 0-7d pso with n=12, 83.02% 8-14d pso with n=53, and 97.73% >14d pso with n =132), and with 30 frozen SARS-CoV-2 antibody-positive serum samples confirmed positive with a nucleic acid amplification test (NAAT) and confirmed to contain both IgM and IgG antibodies with at least one orthogonal method (methods not disclosed) tested at the Frederick National Laboratory for Cancer Research (FNLCR). Positive assay results for PPA were those that were positive for IgG or IgM. NPA determined with clinical samples (sample type not disclosed) collected at an undisclosed hospital during COVID-19 pandemic from individuals with other (non SARS-CoV-2-mediated) respiratory tract infections (n = 78) and healthy individuals lacking respiratory symptoms by physical examination (n =108) all confirmed negative with RT-PCR assay for SARS-CoV-2 (method not disclosed), with clinical serum samples collected in the clinical laboratory of an undisclosed hospital from February to March 2020 from patients with other respiratory tract infections (n = 203), from pregnant patients (n = 416), and from healthy people undergoing physical examination (n = 28) all confirmed SARS-CoV-2 negative by PCR (method not disclosed), with 144 clinical serum samples collected in the clinical laboratory of an undisclosed hospital from pre-COVID (May 2019 to October 2019) inpatients in non-respiratory departments, and with 80 frozen SARS-CoV-2 antibody-negative serum and plasma samples (distribution of each sample type not disclosed) collected prior to 2020 including a subset selected from banked serum from HIV+ patients (n=10). Negative assay results for NPA were those either those that were negative for both IgG and IgM or, if that information was unavailable, the result between IgG and IgM with a lower number of agreements with comparator. ",not included,included,not included,ND,https://www.fda.gov/media/139283/download,https://www.fda.gov/media/139280/download,,,,,***
,Omnipathology Solutions Medical Corporation,Omni COVID-19 Assay by RT-PCR,,https://www.omnipathology.com/,Lab,USA,"EUA granted June 17, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"NP swab, OP swab, Anterior nasal swab, Mid-turbinate nasal swab, NP wash/aspirate, Nasal aspirate, BAL","UTM, VTM, Saline",N,NA,BD MAX ExK TNA-2 or 3 Kit on the BD MAX System (software version 4.70),BD MAX System (software version 4.70),ND,1.23 copies/µL,,No cross-reactivity predicted in silico,97.30%,37.00,Clinical and contrived,100.00%,35.00,,,"PPA determined with 30 contrived specimens spiked with SARS-CoV-2 RNA material (AccuPlex SARS-CoV-2 Verification Panel, cat. # 505-0129) into individual negative clinical NP specimens in VTM (source of specimens and method of negative determination not disclosed) and 7 clinical NP specimens (source not disclosed) confirmed to be positive with an undisclosed authorized SARS-CoV-2 real-time RT-PCR assay by an undisclosed high complexity CLIA laboratory. NPA determined with 30 individual negative clinical NP specimens in VTM (source of specimens and method of negative determination not disclosed) and 5 clinical NP specimens (source not disclosed) confirmed to be negative with an undisclosed authorized SARS-CoV-2 real-time RT-PCR assay by an undisclosed high complexity CLIA laboratory.  Samples for contrived study (i.e. 30 positive and 30 negative) were processed over the course of three separate runs spanning two separate days. Note that it is not disclosed whether the 60 specimens used for the contrived study and the 12 specimens tested with the SARS-CoV-2 real-time RT-PCR comparator assay were from mutually exlusive specimen sets.",not included,included,included,ND,https://www.fda.gov/media/139292/download,https://www.fda.gov/media/139289/download,,,,,
,The Ohio State University Wexner Medical Center,OSUWMC COVID-19 RT-PCR test,,https://wexnermedical.osu.edu/features/coronavirus/patient-care/covid-19-testing,Lab,USA,"EUA granted June 17, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasal swab, OP swab, NP swab",ND,N,NA,bioMérieux EasyMAG Extraction System,ABI 7500 Fast RealTime PCR instrument (software version 1.5.1),ND,0.25 cp/µL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,62,Clinical and contrived,100.00%,61.00,,,"PPA determined with 30 randomized and blinded contrived specimens spiked with Exact Diagnostics SARS-CoV-2 (catalog number not disclosed) into individual negative clinical NP specimens (source of specimens and method of negative determination not disclosed), 1 clinical NP specimen determined to be positive by the Ohio State Public health lab (method of positive determination not disclosed), 26 clinical NP specimens confirmed to be positive with the Simplexa COVID19 Direct Assay (source of specimens not disclosed), and 5 clinical NP specimens tested to be positive with the CDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostics Panel by the Ohio Department of Health (source of specimens not disclosed). NPA determined with 30 randomized and blinded individual negative clinical NP specimens (source of specimens and method of negative determination not disclosed), 25 clinical NP specimens confirmed to be negative with the Simplexa COVID19 Direct Assay (source of specimens not disclosed), and 6 clinical NP specimens confirmed to be negative with the CDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostics Panel by the Ohio Department of Health (source of specimens not disclosed).  Note that it is not disclosed whether the 51 clinical specimens tested with the Simplexa COVID19 Direct Assay and the 11 specimens tested with the CDC 2019-nCoV Real-Time RT-PCR Diagnostics Panel were from mutually exlusive specimen sets.",not included,included,included,ND,https://www.fda.gov/media/139288/download,https://www.fda.gov/media/139285/download,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Warrior Diagnostics, Inc.",Warrior Diagnostics SARS-CoV-2 Assay,,https://warrior-dx.com/covid-19/,Lab,USA,"EUA granted June 9, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,Nasopharyngeal swab,ND,N (N1 and N2 regions),NA,Invitrogen PureLink Viral RNA/DNA Mini Kit,Agilent AriaMX running Aria (software V1.5),ND,"150,000 copies/mL",,No cross-reactivity predicted in silico,100.00%,93,Clinical,98.90%,87,100.00%,82.07%,,PPA determined with 31 clinical NP specimens (sample source not disclosed) confirmed positive with the LabCorp COVID-19 RT-PCR test. NPA determined with 29 clinical NP specimens (sample source not disclosed) confirmed negative with the LabCorp COVID-19 RT-PCR test. Each sample for PPA and NPA was run in triplicate with combined results shown.,not included,included,included,ND,https://www.fda.gov/media/138790/download,https://www.fda.gov/media/138791/download,6/18/2020 9:44,6/19/2020 17:11,,
,Cormeum Laboratory Services,Cormeum SARS-CoV-2 Assay,,https://npidb.org/organizations/laboratories/clinical-medical-laboratory_291u00000x/1285287821.aspx,Lab,USA,"EUA granted June 12, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,Nasopharyngeal swab,ND,"Orf1ab, N, S",NA,MagMax Viral/Pathogen Isolation Kit (A42352) on the MagMax Express 96 Fast,ABI Quantstudio 12K Flex Real-Time PCR with QuantStudio 12K Flex Software (V.1.1.2),ND,2 copies/uL,,No cross-reactivity predicted in silico,97.00%,67,Clinical and contrived,100.00%,167,99.84%,100.00%,,"PPA determined with 37 randomized and blinded clinical NP specimens confirmed positive with the EUA ThermoFisher (TF) assay at an undisclosed CLIA and CAP accredited laboratory, and with 30 randomized and blinded contrived clinical specimens created with known positive patient clinical specimens (source and method of positive determination not disclosed) spiked into leftover individual clinical specimens (source and method of negative determination not disclosed). NPA determined with 137 randomized and blinded clinical NP specimens confirmed negative with the EUA ThermoFisher (TF) assay at an undisclosed CLIA and CAP accredited laboratory, and with 30 randomized and blinded negative clinical specimens (source and method of negative determination not disclosed).",not included,included,included,ND,https://www.fda.gov/media/138934/download,https://www.fda.gov/media/138933/download,6/18/2020 9:44,6/18/2020 9:44,,
,ChromaCode Inc.,HDPCR SARS-CoV-2 Assay,,https://chromacode.com/products/hdpcr-sars-cov-2-assay/#/sars-cov-2,Kit,USA,"EUA granted June 9, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal swab Oropharyngeal swab, Anterior nasal swab, Midturbinate nasal swab, Nasal aspirate, Nasal wash, Bronchoalveolar lavage (BAL)","UTM, VCM, or equivalent",N (N1 and N2 regions),NA,"Roche MagNA Pure 24 Total Nucleic Acid Isolation Kit on the Roche MagNA Pure 24 Nucleic Acid Extraction System, 
 Applied Biosystem MagMAX Viral/Pathogen Nucleic Acid Isolation Kit on the Thermo Scientific KingFisher Flex Extraction System","ABI QuantStudio 7 Flex (Software Version 1.3), 
 ABI 7500 Fast (Software Version 2.3), 
 ABI QuantStudio 12K Flex (Software Version 1.3)",ND,"1000 copies/mL (20 copies/rxn) on the ABI 7500 Fast (software version 1.3) and the ABI Quant Studio 7 (software version 2.3)
 250 copies/mL (5 copies/rxn) on the ABI Quant Studio 12K system (software version 1.3)",,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,90,Contrived,97.80%,90,100.00%,70.33%,,"PPA determined with contrived samples of Armored RNA Quant® SARS-CoV-2 Control obtained (Asuragen, cat #52030) spiked into negative clinical NP specimens (sample source and negative determination method not disclosed) and assayed with one of three methods: extraction with the Roche MagNA Pure 24 Pathogen 200 2.0 Protocol with the Total Nucleic Acid Isolation Kit for qRT-PCR and measurement on the ABI QuantStudio 7 (n =30, 100% positive agreement), extraction with the Roche MagNA Pure 24 Pathogen 200 2.0 Protocol with the Total Nucleic Acid Isolation Kit for qRT-PCR and measurement on the ABI 7500 Fast (n =30, 100% positive agreement), or extraction with the KingFisher MVP_Flex Protocol was with the Fisher MagMAX Viral/Pathogen Nucleic Acid Isolation Kit for qRT-PCR on the ABI QuantStudio 12K Flex (n =30, 100% positive agreement). Validation notes do not specify uniqueness of original samples processed with each method. NPA determined with negative clinical NP specimens (sample source and negative determination method not disclosed) and assayed with one of three methods: extraction with the Roche MagNA Pure 24 Pathogen 200 2.0 Protocol with the Total Nucleic Acid Isolation Kit for qRT-PCR and measurement on the ABI QuantStudio 7 (n =30, 96.7% negative agreement), extraction with the Roche MagNA Pure 24 Pathogen 200 2.0 Protocol with the Total Nucleic Acid Isolation Kit for qRT-PCR and measurement on the ABI 7500 Fast (n =30, 96.7% negative agreement), or extraction with the KingFisher MVP_Flex Protocol was with the Fisher MagMAX Viral/Pathogen Nucleic Acid Isolation Kit for qRT-PCR on the ABI QuantStudio 12K Flex (n =30, 100% negative agreement). Validation notes do not specify uniqueness of original samples processed with each method.",not included,included,included,ND,https://www.fda.gov/media/138786/download,https://www.fda.gov/media/138787/download,6/18/2020 9:43,6/19/2020 16:52,,
,Cue Health Inc.,Cue COVID-19 Test,,https://www.cuehealth.com/covid-19,Kit,USA,"EUA granted June 10, 2020","Laboratory, POC","H, M, W",Molecular,RNA,Isothermal Amplification (proprietary),Nasal swab,ND,N,NA,Manual,Cue Health Monitoring System with the Cue Cartridge Reader and Cue Health App,25 minutes from Sample Wand insertion,20 genomic copies/sample wand or 1.3 genomic copies/uL,,"One undisclosed microbial organism showed ≥80% sequence homology to more than one of the three Cue COVID-19 Test primers during in silico analysis. 1/9 positive for Staphylococcus epidermidis-positive specimens, 2/9 positive for Adenovirus Type 1-positive specimens, 1/10 positive for Rhinovirus type 1A-positive specimens during wet lab testing.",98.80%,81,Clinical and contrived,95.60%,68,99.93%,54.10%,,"PPA determined with 6 clinical specimens collected from individuals with signs and/or symptoms of COVID-19 at two emergency departments (ED) located in an epicenter for the COVID-19 outbreak in the US (number from each site not disclosed) tested by untrained operators at the point of care and confirmed positive with an undisclosed standard of care EUA SARS-CoV-2 Test, with 45 frozen NP swab samples in VTM from individuals suspected of SARS-CoV-2 infection and confirmed positive with an undisclosed standard of care EUA SARS-CoV-2 Test, and with 30 blinded and randomized contrived clinical specimens with genomic RNA from SARS-Related Coronavirus 2, Isolate USAWA1/2020 spiked into negative nasal samples collected from consented healthy volunteers (method of negative determination not disclosed). NPA determined with 38 clinical specimens collected from individuals with signs and/or symptoms of COVID-19 at two emergency departments (ED) located in an epicenter for the COVID-19 outbreak in the US (number from each site not disclosed) tested by untrained operators at the point of care and confirmed negative with an undisclosed standard of care EUA SARS-CoV-2 Test, and with 30 blinded and randomized negative nasal samples collected from consented healthy volunteers (method of negative determination not disclosed)",not included,included,not included,ND,https://www.fda.gov/media/138826/download,https://www.fda.gov/media/138823/download,6/18/2020 9:43,6/20/2020 7:47,,
,Euroimmun US Inc.,EURORealTime SARS-CoV-2,,https://www.euroimmun.com/products/indications/infektions-serologie/weitere-parameter/sars-coronavirus.html,Kit,USA,"EUA granted June 8, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasal swab, Mid-turbinate swab, Nasopharyngeal swab, Oropharyngeal swabs, Bronchioalveolar lavage (BAL)",ND,"ORF1ab, N",NA,"Qiagen QIAmp Viral RNA Mini Kit (manual), Chemagen CMG-2015 Prepito Viral DNA/RNA200 Kit (automated system not disclosed)","ABI 7500 Fast Real-Time PCR Instrument (software version not disclosed),
 Roche LightCycler® 480 II (software version not disclosed),
 Bio-Rad CFX 96 Touch (software version not disclosed)",ND,150 copies/mL,,No cross-reactivity predicted in silico nor detected in wet lab testing,96.00%,50,clinical,100.00%,30,99.79%,100.00%,,"PPA determined with 50 clinical OP specimens (source not disclosed) confirmed positive with an undisclosed SARS-CoV-2 molecular comparator test. NPA determined with 30 clinical OP specimens (source not disclosed) confirmed negative with an undisclosed SARS-CoV-2 molecular comparator test. Note that samples in validation were extracted with either QIAamp Viral RNA Mini Kit (n =55, distribution of positive and negative specimens not disclosed) or the CMG-2015 Prepito Viral DNA/RNA200 Kit (n = 25, distribution of positive and negative not disclosed), and run on the LightCylcer480 II.",included,included,included,ND,https://www.fda.gov/media/138761/download,https://www.fda.gov/media/138758/download,6/18/2020 9:43,6/19/2020 16:52,,
,"Illumina, Inc.",Illumina COVIDSeq Test,,https://www.illumina.com/products/by-type/ivd-products/covidseq.html,Kit,USA,"EUA granted June 9, 2020",Laboratory,H,Molecular,RNA,NGS,"Nasopharyngeal swab, Oropharyngeal swab, Anterior nasal swab, Mid-turbinate nasal swab, Nasopharyngeal wash/aspirate, Nasal aspirate, Bronchoalveolar lavage (BAL)",ND,ND,NA,Qiagen QIAamp Viral RNA Mini Kit,"Illumina NovaSeq 6000 Sequencing System using the NovaSeq Xp S4 flow cell
 workflow and Illumina DRAGEN COVIDSeq Test Pipeline",ND,1000 copies/mL,,No cross-reactivity predicted in silico,98.20%,54,Clinical,97.40%,39,99.90%,66.86%,,PPA determined with 54 clinical NP specimens (source not disclosed) confirmed positive with an undisclosed SARS-CoV-2 molecular comparator test authorized for use under FDA EUA. NPA determined with 39 clinical NP specimens (source not disclosed) confirmed negative with an undisclosed SARS-CoV-2 molecular comparator test authorized for use under FDA EUA.,included,included,included,ND,https://www.fda.gov/media/138776/download,https://www.fda.gov/media/138778/download,6/18/2020 9:43,6/18/2020 9:43,,
,"InBios International, Inc.",SCoV-2 Detect IgG ELISA,,https://inbios.com/scov-2-detect-igg-elisa-kit-2/,Kit,USA,"EUA granted June 10, 2020",Laboratory,H,Serology,IgG,,Serum,NA,NA,ND,Manual,Microplate reader (manufacturer not specified),~1 hour and 50 minutes after sample preparation,NA,,3/18 samples positive for RF-positive specimens during wet lab testing,97.80%,45,Clinical,99.00%,95,99.88%,83.10%,,"PPA determined from 45 serum specimens collected from 39 individuals who tested positive by SCoV-2 PCR assay (method not disclosed). Sensitivity for samples were further stratified into specific windows post symptom onset with PCR positive at any time (0-7d pso, NA, n=0; 8-14d pso, 100.00%, n=1; >14d pso, 95.45%, n=22; unknown, 100.00%, n=22), into days since first symptom (14-21d, 87.50%, n=8; 22-30d, 100.00%, n=5; 31-64d, 100.00%, n=9; unknown, 100.00%, n=12), or into days after PCR confirmation or diagnosis (0-7d, 100.00%, n=5; 8-14d, 100.00%, n=3; 15-21d, 100.00%, n=1; unknown, 100.00%, n=2). NPA determined using 95 normal human serum specimens (source and method of determination not disclosed).",not included,included,included,ND,https://www.fda.gov/media/138810/download,https://www.fda.gov/media/138807/download,6/18/2020 9:43,6/18/2020 9:43,,
,Siemens Healthcare Diagnostics Inc.,Dimension Vista SARS-CoV-2 Total antibody assay (COV2T),,https://www.siemens-healthineers.com/en-us/laboratory-diagnostics/assays-by-diseases-conditions/infectious-disease-assays/cov2t-assay,Kit,USA,"EUA granted June 8, 2020",Laboratory,"H, M",Serology,IgG/IgM,Homogeneous Immunoassay,"Serum, Plasma",NA,NA,S1 RBD,Manual,Siemens Dimension Vista System (software version not disclosed),16 minutes after sample preparation,NA,,No cross-reactivity detected in wet lab testing,100.00%,79,Clinical,99.80%,1529,100.00%,96.34%,,"PPA determined by comparison to >13d post PCR positive specimens; Sensitivity for earlier windows: 66.67% (0-6d post PCR positive, n=96), 97.37% (7-13d post PCR positive, n=38). Samples used for PPA were also reported post symptom onset, with sensitivities of 64.20% (0-6d pso, n=81), 91.30% (7-13d pso, n=46), and 100.00% (>13d pso, n=79). NPA determined using pre-COVID (mid-December 2019) outbreak samples from apparently healthy individuals (n = 1462, 3/1462 reactive) and apparently healthy pregnant women (n = 67, 0/67 reactive).",not included,included,included,ND,https://www.fda.gov/media/138753/download,https://www.fda.gov/media/138750/download,6/18/2020 9:43,6/20/2020 7:47,,
,Siemens Healthcare Diagnostics Inc.,Dimension EXL SARS-CoV-2 Total antibody assay (CV2T),,https://www.siemens-healthineers.com/en-us/laboratory-diagnostics/assays-by-diseases-conditions/infectious-disease-assays/cov2t-assay,Kit,USA,"EUA granted June 8, 2020",Laboratory,"H, M",Serology,IgG/IgM,Homogeneous Immunoassay,"Serum, Plasma",NA,NA,S1 RBD,Manual,"Siemens Dimension EXL with LOCI module (software version not disclosed), Siemens Dimension EXL 200 (software version not disclosed)",16 minutes after sample preparation,NA,,No cross-reactivity detected in wet lab testing,100.00%,79,Clinical,99.90%,1529,100.00%,97.59%,,"PPA determined by comparison to >13d post PCR positive specimens; Sensitivity for earlier windows: 68.75% (0-6d post PCR positive, n=96), 97.37% (7-13d post PCR positive, n=38). Samples used for PPA were also reported post symptom onset, with sensitivities of 66.67% (0-6d pso, n=81), 91.30% (7-13d pso, n=46), and 100.00% (>13d pso, n=79). Samples measured on the Siemens Dimension EXL system. NPA determined using pre-COVID (mid-December 2019) outbreak samples from apparently healthy individuals (n = 1462, 2/1462 reactive) and apparently healthy pregnant women (n = 67, 0/67 reactive).",not included,included,included,ND,https://www.fda.gov/media/138757/download,https://www.fda.gov/media/138754/download,6/18/2020 9:43,6/20/2020 7:47,,
,TBG Biotechnology Corp.,ExProbe SARS-CoV-2 Testing Kit,,http://www.tbgbio.com/en/product/product_detail/51,Kit,China,"EUA granted June 10, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal swab, Oropharyngeal swab, Anterior nasal swab, Mid-turbinate nasal swab, Nasopharyngeal aspirate/wash, Nasal aspirate, Bronchoalveolar lavage (BALs)",UTM,"RdRP, N, E",NA,Qiagen Viral RNA MiniKit (Cat. No. 52904),ABI7500 Real Time PCR instrument (software version 2.3),ND,10 copies/uL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,35,Clinical and contrived,99.60%,230,100.00%,92.45%,,"PPA determined with 5 clinical OP specimens (source not disclosed) confirmed positive with the Novel Coronavirus (2091-nCoV) Nucleic Acid Diagnostic Kit (Sansure BioTech Inc. China), and with 30 blinded and randomized contrived clinical specimens with SARS-CoV-2 synthetic RNA (Twist Bioscience Cat # MN9089478.3, USA) spiked into individual, unique negative OP samples (source of specimens and method of negative determination not disclosed). NPA determined with 200 clinical OP specimens (source not disclosed) confirmed negative with the Novel Coronavirus (2091-nCoV) Nucleic Acid Diagnostic Kit (Sansure BioTech Inc. China), and with 30 blinded and randomized contrived clinical specimens with water spiked into negative OP samples (source of specimens and method of negative determination not disclosed).",not included,included,included,ND,https://www.fda.gov/media/138822/download,https://www.fda.gov/media/138819/download,6/18/2020 9:43,6/19/2020 16:52,,
,"Tide Laboratories, LLC",DTPM COVID-19 RT-PCR Test,,https://www.dtpm.com/coronavirus-assay/,Lab,USA,"EUA granted June 10, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Nasopharyngeal swab, Oropharyngeal swab, Nasal swab, Mid-turbinate swab",ND,N,NA,Qiagen RNeasy Kit,ThermoFisher QuantStudio 5 instrument (software version 1.5.1.),ND,22 copies/uL,,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,53,Clinical and contrived,100.00%,48,100.00%,100.00%,,PPA determined with 23 clinical NP specimens (source not disclosed) confirmed positive with an undisclosed FDA EUA assay and with 30 blinded and randomized contrived clinical specimens with whole viral SARS-CoV-2 RNA (USA—WA1/2020) spiked into negative NP samples (source of specimens and method of negative determination not disclosed). NPA determined with 18 clinical NP specimens (source not disclosed) confirmed negative with an undisclosed FDA EUA assay and with 30 blinded and randomized negative NP samples (source of specimens and method of negative determination not disclosed),not included,included,included,ND,https://www.fda.gov/media/138818/download,https://www.fda.gov/media/138815/download,6/18/2020 9:43,6/18/2020 9:43,,
